Article number,Publication Type,Assignment,Primary Theme,Secondary theme(s),Additional Tags,Primary Approach,Additional Approaches,Country/Counties ,Geography (as many as applicable),Additional Notes,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",Years since publication,Times cited per year,180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
22,J,Ted,N2 Fixation,""" Light, primary production, and photosynthesis"", Nutrients (macro)",Nitrogen,Field,,US,"""North America: United States, Canada"", ""South Asia: India, Pakistan, Bangladesh, Afghanistan, Nepal, Sri Lanka1""",,"HORNE, AJ",,,,"HORNE, AJ",,,"NITROGEN-FIXATION IN CLEAR LAKE, CALIFORNIA .4. DIEL STUDIES ON APHANIZOMENON AND ANABAENA BLOOMS",LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"UNIV CALIF BERKELEY,SANIT ENGN RES LAB,BERKELEY,CA 94720",University of California System; University of California Berkeley,"HORNE, AJ (corresponding author), UNIV CALIF BERKELEY,DEPT SANIT ENGN,BERKELEY,CA 94720, USA.",,,,,,,,30,25,28,45,0.6,0,4,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1979,24,2,,,,,329,341,,10.4319/lo.1979.24.2.0329,http://dx.doi.org/10.4319/lo.1979.24.2.0329,,,,13,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,GS847,,Bronze,,,2023-12-14,WOS:A1979GS84700010,View Full Record in Web of Science
23,J,Ted,N2 Fixation,"Nutrients (macro), "" Light, primary production, and photosynthesis""",Nitrogen,Field,,US,"""North America: United States, Canada""",,"HORNE, AJ; SANDUSKY, JC; CARMIGGELT, CJW",,,,"HORNE, AJ; SANDUSKY, JC; CARMIGGELT, CJW",,,"NITROGEN-FIXATION IN CLEAR LAKE, CALIFORNIA .3. REPETITIVE SYNOPTIC SAMPLING OF THE SPRING APHANIZOMENON BLOOMS",LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"UNIV CALIF BERKELEY LAWRENCE BERKELEY LAB,BERKELEY,CA 94720; CLEAR LAKE ALGAL RES UNIT,LAKEPORT,CA",United States Department of Energy (DOE); Lawrence Berkeley National Laboratory; University of California System; University of California Berkeley,"HORNE, AJ (corresponding author), UNIV CALIF BERKELEY,DIV SANIT ENGN,BERKELEY,CA 94720, USA.",,,,,,,,32,32,35,45,0.8,0,3,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1979,24,2,,,,,316,328,,10.4319/lo.1979.24.2.0316,http://dx.doi.org/10.4319/lo.1979.24.2.0316,,,,13,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,GS847,,,,,2023-12-14,WOS:A1979GS84700009,View Full Record in Web of Science
25,J,Ted,Method development,""" Light, primary production, and photosynthesis""",,Lab/Experimental,,FR,"""Western Europe: Germany, France, United Kingdom, Italy, Spain""",,"FEUILLADE, J; FEUILLADE, M",,,,"FEUILLADE, J; FEUILLADE, M",,,CHEMOSTAT DEVICE ADAPTED TO PLANKTONIC OSCILLATORIA CULTIVATION,LIMNOLOGY AND OCEANOGRAPHY,,,English,Note,,,,,,,,,,,"FEUILLADE, J (corresponding author), INRA,HYDROBIOL LACUSTRE STN,F-74203 THONON,FRANCE.",,,,,,,,6,22,22,45,0.5,0,0,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1979,24,3,,,,,562,564,,10.4319/lo.1979.24.3.0562,http://dx.doi.org/10.4319/lo.1979.24.3.0562,,,,3,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,GY590,,Bronze,,,2023-12-14,WOS:A1979GY59000020,View Full Record in Web of Science
27,J,Ted,Micronutrients/metals,Toxins (metabollite info),,Lab/Experimental,,US,"""North America: United States, Canada""",,"MCKNIGHT, DM; MOREL, FMM",,,,"MCKNIGHT, DM; MOREL, FMM",,,COPPER COMPLEXATION BY SIDEROPHORES FROM FILAMENTOUS BLUE-GREEN-ALGAE,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"MIT,RALPH M PARSONS LAB WATER RESOURCES & HYDRODYNAM,CAMBRIDGE,MA 02139",Massachusetts Institute of Technology (MIT),,,"Morel, Francois M M/A-8107-2008",,,,,,39,104,116,44,2.6,1,7,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1980,25,1,,,,,62,71,,10.4319/lo.1980.25.1.0062,http://dx.doi.org/10.4319/lo.1980.25.1.0062,,,,10,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,JE076,,Bronze,,,2023-12-14,WOS:A1980JE07600006,View Full Record in Web of Science
28,J,Ted,""" Light, primary production, and photosynthesis""","""Cyano monitoring, including lake sensors, remote sensing etc""",,Field,,US,"""North America: United States, Canada""",,"FALLON, RD; BROCK, TD",,,,"FALLON, RD; BROCK, TD",,,"PLANKTONIC BLUE-GREEN-ALGAE - PRODUCTION, SEDIMENTATION, AND DECOMPOSITION IN LAKE MENDOTA, WISCONSIN",LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"UNIV WISCONSIN,DEPT BACTERIOL,MADISON,WI 53706",University of Wisconsin System; University of Wisconsin Madison,,,,,,,,,32,68,74,44,1.7,0,10,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1980,25,1,,,,,72,88,,10.4319/lo.1980.25.1.0072,http://dx.doi.org/10.4319/lo.1980.25.1.0072,,,,17,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,JE076,,,,,2023-12-14,WOS:A1980JE07600007,View Full Record in Web of Science
30,J,Ted,Nutrients (macro),""" Light, primary production, and photosynthesis""",Phosphorus,Lab/Experimental,,US,"""North America: United States, Canada""",,"HOLM, NP; ARMSTRONG, DE",,,,"HOLM, NP; ARMSTRONG, DE",,,ROLE OF NUTRIENT LIMITATION AND COMPETITION IN CONTROLLING THE POPULATIONS OF ASTERIONELLA-FORMOSA AND MICROCYSTIS-AERUGINOSA IN SEMICONTINUOUS CULTURE,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"UNIV WISCONSIN,PROGRAM WATER CHEM,MADISON,WI 53706",University of Wisconsin System; University of Wisconsin Madison,,,,,,,,,37,131,145,43,3.4,1,26,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1981,26,4,,,,,622,634,,10.4319/lo.1981.26.4.0622,http://dx.doi.org/10.4319/lo.1981.26.4.0622,,,,13,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,MB810,,,,,2023-12-14,WOS:A1981MB81000003,View Full Record in Web of Science
32,J,Ted,Buoyancy and physical drivers of surface bloom formation,""" Light, primary production, and photosynthesis"", Review papers",,Field,,US,"""North America: United States, Canada""",,"PAERL, HW; USTACH, JF",,,,"PAERL, HW; USTACH, JF",,,BLUE-GREEN-ALGAL SCUMS - AN EXPLANATION FOR THEIR OCCURRENCE DURING FRESH-WATER BLOOMS,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,,,"PAERL, HW (corresponding author), UNIV N CAROLINA,INST MARINE SCI,MOREHEAD CITY,NC 28557, USA.",,,,,,,,21,142,159,42,3.8,1,14,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1982,27,2,,,,,212,217,,10.4319/lo.1982.27.2.0212,http://dx.doi.org/10.4319/lo.1982.27.2.0212,,,,6,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,NJ033,,Bronze,,,2023-12-14,WOS:A1982NJ03300002,View Full Record in Web of Science
33,J,Ted,""" Light, primary production, and photosynthesis""",Nutrients (macro),Carbon,Field,,US,"""North America: United States, Canada""",,"KONOPKA, A",,,,"KONOPKA, A",,,PHYSIOLOGICAL ECOLOGY OF A METALIMNETIC OSCILLATORIA-RUBESCENS POPULATION,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,,,"KONOPKA, A (corresponding author), PURDUE UNIV,DEPT BIOL SCI,W LAFAYETTE,IN 47907, USA.",,,,,,,,22,37,39,42,0.9,0,1,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1982,27,6,,,,,1154,1161,,,,,,,8,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,PT428,,,,,2023-12-14,WOS:A1982PT42800015,View Full Record in Web of Science
34,J,Ted,""" Light, primary production, and photosynthesis""",Nutrients (macro),"Nitrogen, Phosphorus, Carbon",Lab/Experimental,,NL,"""Western Europe: Germany, France, United Kingdom, Italy, Spain""",,"ZEVENBOOM, W; DEVAATE, AB; MUR, LR",,,,"ZEVENBOOM, W; DEVAATE, AB; MUR, LR",,,"ASSESSMENT OF FACTORS LIMITING GROWTH-RATE OF OSCILLATORIA-AGARDHII IN HYPERTROPHIC LAKE WOLDERWIJD, 1978, BY USE OF PHYSIOLOGICAL INDICATORS",LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"RIJKSDIENST IJSSELMEERPOLDERS,8224 AD LELYSTAD,NETHERLANDS",,"ZEVENBOOM, W (corresponding author), UNIV AMSTERDAM,MICROBIOL LAB,1018 WS AMSTERDAM,NETHERLANDS.",,,,,,,,50,74,77,42,1.8,0,4,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1982,27,1,,,,,39,52,,10.4319/lo.1982.27.1.0039,http://dx.doi.org/10.4319/lo.1982.27.1.0039,,,,14,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,NA271,,,,,2023-12-14,WOS:A1982NA27100004,View Full Record in Web of Science
35,J,Ted,Buoyancy and physical drivers of surface bloom formation,""" Light, primary production, and photosynthesis""",Carbon,Field,,US,"""North America: United States, Canada""",,"PAERL, HW; TUCKER, J; BLAND, PT",,,,"PAERL, HW; TUCKER, J; BLAND, PT",,,CAROTENOID ENHANCEMENT AND ITS ROLE IN MAINTAINING BLUE-GREEN-ALGAL (MICROCYSTIS-AERUGINOSA) SURFACE BLOOMS,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,,,"PAERL, HW (corresponding author), UNIV N CAROLINA, INST MARINE SCI, MOREHEAD CITY, NC 28557 USA.",,,,,,,,31,142,159,41,3.9,0,31,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0024-3590,1939-5590,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1983,28,5,,,,,847,857,,10.4319/lo.1983.28.5.0847,http://dx.doi.org/10.4319/lo.1983.28.5.0847,,,,11,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,RN426,,Bronze,,,2023-12-14,WOS:A1983RN42600004,View Full Record in Web of Science
36,J,Ted,Foodweb interactions,,Zooplankton,Lab/Experimental,,"US, AU","""North America: United States, Canada""",,"HOLM, NP; GANF, GG; SHAPIRO, J",,,,"HOLM, NP; GANF, GG; SHAPIRO, J",,,FEEDING AND ASSIMILATION RATES OF DAPHNIA-PULEX FED APHANIZOMENON-FLOS-AQUAE,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"UNIV MINNESOTA,LIMNOL RES CTR,MINNEAPOLIS,MN 55455",University of Minnesota System; University of Minnesota Twin Cities,,,,,,,,,45,103,117,41,2.9,2,7,AMER SOC LIMNOLOGY OCEANOGRAPH,LAWRENCE,"810 EAST 10TH ST, LAWRENCE, KS 66044-8897",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1983,28,4,,,,,677,687,,10.4319/lo.1983.28.4.0677,http://dx.doi.org/10.4319/lo.1983.28.4.0677,,,,11,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,RC295,,Bronze,,,2023-12-14,WOS:A1983RC29500008,View Full Record in Web of Science
39,J,Ted,Buoyancy and physical drivers of surface bloom formation,,,Field,,"DE,IL","""Western Europe: Germany, France, United Kingdom, Italy, Spain""",,"VANRIJN, J; SHILO, M",,,,"VANRIJN, J; SHILO, M",,,BUOYANCY REGULATION IN A NATURAL-POPULATION OF OSCILLATORIA SPP IN FISHPONDS,LIMNOLOGY AND OCEANOGRAPHY,,,English,Note,,,,,,,,,,,"VANRIJN, J (corresponding author), HEBREW UNIV JERUSALEM,INST LIFE SCI,DIV MICROBIAL & MOLEC ECOL,JERUSALEM,ISRAEL.",,"van Rijn, Jaap/Q-5254-2017","van Rijn, Jaap/0000-0002-9680-2133",,,,,16,12,12,41,0.3,0,3,AMER SOC LIMNOLOGY OCEANOGRAPH,LAWRENCE,"810 EAST 10TH ST, LAWRENCE, KS 66044-8897",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1983,28,5,,,,,1034,1037,,10.4319/lo.1983.28.5.1034,http://dx.doi.org/10.4319/lo.1983.28.5.1034,,,,4,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,RN426,,Bronze,,,2023-12-14,WOS:A1983RN42600023,View Full Record in Web of Science
40,J,Ted,Foodweb interactions,,Zooplankton,Lab/Experimental,,US,"""North America: United States, Canada""",,"PORTER, KG; MCDONOUGH, R",,,,"PORTER, KG; MCDONOUGH, R",,,THE ENERGETIC COST OF RESPONSE TO BLUE-GREEN-ALGAL FILAMENTS BY CLADOCERANS,LIMNOLOGY AND OCEANOGRAPHY,,,English,Note,,,,,,,,,"UNIV GEORGIA, INST ECOL, ATHENS, GA 30602 USA",University System of Georgia; University of Georgia,"PORTER, KG (corresponding author), UNIV GEORGIA, DEPT ZOOL, ATHENS, GA 30602 USA.",,,,,,,,22,141,151,40,3.8,0,7,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0024-3590,1939-5590,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1984,29,2,,,,,365,369,,10.4319/lo.1984.29.2.0365,http://dx.doi.org/10.4319/lo.1984.29.2.0365,,,,5,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,SL263,,Bronze,,,2023-12-14,WOS:A1984SL26300014,View Full Record in Web of Science
